UserID,NeighborCount,ReplyCount,AgreeCount,DisagreeCount,SuspendCount,SuspendReplies,SuspendAgrees,SuspendDisagrees,Stance
8099,1,1,1,0,0,0,0,0,U
8199,1,2,2,0,0,0,0,0,U
8338,2,2,1,0,0,0,0,0,U
8592,1,1,1,0,0,0,0,0,R
8630,1,1,1,0,1,1,1,0,U
8669,1,1,0,-1,0,0,0,0,U
8722,3,8,0,-8,0,0,0,0,R
8736,2,2,2,0,1,1,1,0,U
8861,2,2,2,0,0,0,0,0,U
8878,3,7,3,-4,1,4,0,-4,U
9003,2,2,2,0,0,0,0,0,U
9021,3,3,3,0,2,2,2,0,U
9112,3,3,3,0,0,0,0,0,U
9223,2,6,6,0,0,0,0,0,U
9254,2,2,2,0,1,1,1,0,U
9356,1,1,0,0,0,0,0,0,N
9429,2,2,2,0,0,0,0,0,U
9538,1,1,0,-1,1,1,0,-1,U
9605,2,7,1,-6,0,0,0,0,U
9624,6,8,0,-8,0,0,0,0,R
9645,1,1,1,0,0,0,0,0,U
9661,1,1,1,0,0,0,0,0,U
9693,1,1,1,0,1,1,1,0,U
9757,2,2,2,0,0,0,0,0,U
9938,1,1,0,-1,0,0,0,0,U
9983,1,1,1,0,1,1,1,0,U
10058,1,2,2,0,0,0,0,0,U
10106,1,1,0,0,0,0,0,0,R
10138,1,1,1,0,0,0,0,0,U
10143,14,29,29,0,0,0,0,0,U
10182,2,2,2,0,0,0,0,0,U
10230,1,2,2,0,0,0,0,0,U
10234,1,1,1,0,0,0,0,0,U
10238,1,1,1,0,1,1,1,0,U
10314,2,2,2,0,1,1,1,0,U
10329,1,1,1,0,0,0,0,0,R
10357,2,2,0,-2,1,1,0,-1,R
10364,3,5,5,0,2,2,2,0,U
10375,1,1,1,0,0,0,0,0,U
10408,2,2,2,0,0,0,0,0,U
10445,3,3,3,0,0,0,0,0,U
10548,11,19,19,0,2,4,4,0,U
10559,1,1,1,0,0,0,0,0,U
10574,3,4,2,-2,0,0,0,0,R
10584,2,2,2,0,1,1,1,0,U
10592,1,2,2,0,0,0,0,0,U
10626,5,45,45,0,2,3,3,0,U
10679,2,2,1,-1,0,0,0,0,U
10724,4,12,12,0,0,0,0,0,U
10746,2,2,2,0,0,0,0,0,U
10767,4,4,4,0,1,1,1,0,U
10769,4,6,6,0,0,0,0,0,U
10773,2,2,1,-1,0,0,0,0,U
10777,1,1,1,0,0,0,0,0,U
10940,2,2,1,-1,0,0,0,0,U
10997,5,8,8,0,2,3,3,0,U
11004,1,2,0,-2,0,0,0,0,U
11069,2,8,0,-8,0,0,0,0,R
11079,2,2,2,0,1,1,1,0,U
11300,1,1,1,0,0,0,0,0,U
11316,5,5,5,0,3,3,3,0,U
11366,2,2,2,0,1,1,1,0,U
11419,1,1,0,-1,0,0,0,0,U
11463,1,1,1,0,1,1,1,0,U
11521,2,7,0,-7,0,0,0,0,R
11547,1,3,3,0,0,0,0,0,U
11581,1,1,1,0,0,0,0,0,U
11658,23,76,76,0,2,2,2,0,U
11678,1,1,1,0,0,0,0,0,U
11718,2,3,0,-3,0,0,0,0,U
11772,4,4,4,0,0,0,0,0,U
11798,1,1,1,0,0,0,0,0,U
11890,8,8,8,0,0,0,0,0,U
11893,2,3,2,-1,1,2,2,0,U
11906,2,2,2,0,0,0,0,0,U
11927,1,3,3,0,0,0,0,0,U
11969,1,1,0,-1,0,0,0,0,U
12007,6,6,6,0,0,0,0,0,U
12045,5,14,14,0,3,7,7,0,U
12108,1,1,1,0,0,0,0,0,U
12152,5,5,5,0,1,1,1,0,U
12180,6,34,20,0,0,0,0,0,U
12185,1,1,1,0,1,1,1,0,U
12226,1,1,1,0,0,0,0,0,U
12227,5,13,11,-1,1,1,0,-1,U
12317,5,15,15,0,1,3,3,0,U
12431,2,3,0,-3,0,0,0,0,U
